order_id,customer_id,product_id,order_date,sales,quantity_sold,shipping_cost
192,992,25,23/01/2024,381.16,1,13.28
193,434,74,24/07/2024,360.67,9,24.28
194,1785,78,06/10/2024,799.67,7,43.89
195,1494,87,24/08/2024,222.8,7,42.21
196,326,57,20/11/2024,486.42,7,18.88
197,574,54,31/12/2023,385.7,6,40.25
198,1406,79,07/02/2024,895.92,7,23.23
199,494,42,27/04/2024,664.04,10,41.66
200,1605,63,25/11/2024,697.78,1,16.93
201,1966,40,30/10/2024,531.69,6,7.73
202,1860,38,07/01/2024,498.72,2,38.23
203,1970,13,16/01/2024,34.7,3,33.1
204,998,91,03/09/2024,88.78,7,14.99
205,274,59,11/07/2024,360.8,4,26.64
206,1797,27,08/04/2024,511.71,1,46.68
207,319,70,07/02/2024,244.82,8,38.53
208,205,13,17/04/2024,800.1,10,48.12
209,514,55,16/04/2024,523.69,3,39.17
210,1007,42,05/06/2024,52.71,5,34.15
211,1374,17,17/09/2024,727.28,2,36.23
212,46,47,21/03/2024,323.03,10,22.68
213,1449,78,21/04/2024,915.85,5,46.25
214,813,26,19/08/2024,776.79,6,48.77
215,1810,21,08/12/2024,264.37,7,5.79
216,927,58,09/10/2024,304.71,9,29.04
217,545,38,03/07/2024,799.4,3,45.47
218,919,37,26/06/2024,651.26,8,49.91
219,329,23,22/09/2024,609.1,8,39.97
220,1718,7,02/05/2024,507.38,10,23.12
221,1437,65,14/09/2024,808.49,3,46.03
222,1830,52,25/03/2024,38.29,7,34.22
223,1851,66,14/06/2024,990.64,8,17.07
224,851,30,04/01/2024,270.88,5,39.91
225,1969,74,04/12/2024,199.02,8,5.45
226,1911,48,30/09/2024,417.47,4,13.03
227,791,46,04/10/2024,412.31,3,5.15
228,420,60,26/10/2024,48.23,10,8.27
229,328,69,28/12/2023,913.15,6,23.7
230,1167,93,21/10/2024,118.04,2,22.51
231,1307,99,06/04/2024,283.74,8,28.76
232,609,93,14/10/2024,246.02,8,49.58
233,1419,75,16/09/2024,877.67,8,47.12
234,781,56,08/12/2024,397.08,3,13.57
235,362,1,05/09/2024,425.04,6,25.06
236,1082,70,19/05/2024,623.11,8,16.64
237,1411,98,11/03/2024,76.46,9,47.83
238,323,90,25/05/2024,879.84,1,33.76
239,87,64,09/07/2024,156.3,8,20.44
240,340,77,22/01/2024,554,1,6.94
241,9,89,20/01/2024,217.31,10,42.12
242,589,25,15/09/2024,408.49,10,7.03
243,894,90,17/12/2024,456.67,9,38.86
244,1649,74,26/12/2023,810.2,1,35.66
245,711,89,24/12/2023,627.58,6,9.29
246,1584,13,28/05/2024,227.1,6,20.71
247,1971,22,25/01/2024,517.91,8,40.5
248,912,55,06/05/2024,774.52,9,44.84
249,985,91,21/08/2024,383.99,4,30.82
250,1447,50,31/05/2024,910.7,8,29.64
251,272,43,19/04/2024,502.5,3,12.8
252,1172,87,02/09/2024,263.37,4,8.7
253,1214,29,10/01/2024,379.8,8,36.72
254,108,7,13/03/2024,852.9,2,28.09
255,258,51,10/06/2024,149.26,7,10.77
256,1210,72,08/04/2024,279.75,3,24.1
257,1600,90,24/02/2024,385.2,4,12.36
258,1215,18,11/08/2024,807.11,3,18.73
259,1528,80,14/06/2024,449.16,8,48.43
260,1913,81,04/01/2024,947.07,7,15.52
261,642,3,22/05/2024,682.8,7,7.39
262,312,73,27/01/2024,725.8,4,44.31
263,966,16,08/04/2024,60.21,10,28.52
264,1379,69,31/05/2024,643.54,3,22.89
265,1153,72,24/07/2024,696.04,10,26.97
266,1903,16,23/04/2024,75.29,2,28.55
267,1435,35,21/10/2024,955.63,10,41.13
268,246,46,09/08/2024,512.04,6,5.14
269,1171,39,03/12/2024,590.12,9,12.16
270,387,78,22/04/2024,845.41,10,6.36
271,521,89,21/02/2024,204.7,7,27.31
272,1803,4,08/07/2024,935.14,5,28.44
273,1111,37,13/11/2024,80.06,9,47.06
274,1702,13,20/09/2024,710.61,4,35.46
275,880,8,21/05/2024,587.3,10,21.87
276,1671,7,28/08/2024,782.81,10,34.69
277,237,41,09/09/2024,647.63,4,34
278,583,42,27/10/2024,489.61,4,19.65
279,882,78,09/11/2024,844.28,6,5.55
280,462,97,03/03/2024,472.61,8,29.71
281,1900,1,14/09/2024,88.35,5,30.78
282,1887,73,14/06/2024,894.69,4,10.3
283,1883,18,16/09/2024,315.76,6,18.44
284,1566,51,11/03/2024,229.71,8,29.58
285,1590,88,10/01/2024,363.84,7,17.69
286,671,48,14/08/2024,315.95,9,25.61
287,130,55,27/10/2024,217.59,3,43.42
288,1140,93,15/02/2024,747.32,8,15.79
289,1346,59,20/11/2024,812.59,2,20.01
290,769,39,29/05/2024,236.59,5,43.43
291,188,10,23/09/2024,371.4,10,40.52
292,1097,14,25/09/2024,929.62,4,33.37
293,437,49,05/02/2024,64.77,10,15.67
294,695,52,26/08/2024,320.88,4,27.97
295,1224,2,14/07/2024,936.03,9,17.57
296,1428,90,01/10/2024,530.2,8,13.72
297,97,49,28/11/2024,773.72,5,34.5
298,1153,75,05/10/2024,310.78,1,10.15
299,1114,90,29/06/2024,194.36,2,47.44
300,1961,1,13/11/2024,225.82,2,37.31
301,1853,11,21/10/2024,852.31,10,8.6
302,1072,22,24/02/2024,746.41,3,9.44
303,843,59,02/07/2024,687.83,7,29.55
304,1763,68,15/01/2024,134.66,8,22.67
305,131,20,20/01/2024,880.89,2,34.86
306,1957,87,04/04/2024,826.91,10,26.2
307,261,12,27/04/2024,57.86,3,20.29
308,1415,80,15/12/2024,248,7,35.25
309,398,19,17/05/2024,934.38,1,15.52
310,243,97,16/02/2024,152.51,8,35.16
311,716,54,18/09/2024,671.5,7,38.63
312,261,85,30/01/2024,130.66,3,19.8
313,999,41,30/03/2024,939.88,1,46.29
314,1475,100,22/01/2024,762.43,10,19.13
315,1879,31,05/02/2024,876.2,3,46.02
316,401,23,18/05/2024,383.11,1,43.91
317,1178,59,16/08/2024,869.11,4,38.23
318,1879,63,08/07/2024,225.02,2,14.14
319,1176,80,04/01/2024,917.15,4,49.87
320,1732,40,21/05/2024,111.54,8,40.56
321,640,92,26/11/2024,597.15,10,46.35
322,116,14,24/08/2024,664.79,6,5.89
323,1997,87,10/08/2024,647.77,6,38.06
324,1999,16,23/06/2024,28.51,5,36.91
325,597,32,28/04/2024,125.21,2,38.58
326,945,24,06/03/2024,606.84,2,32.86
327,1936,12,23/02/2024,12.68,3,49.59
328,1677,52,28/11/2024,185.2,9,36.35
329,529,57,19/06/2024,701.09,10,34.94
330,1322,84,08/10/2024,392.93,9,13.47
331,560,99,20/03/2024,411.33,3,43.55
332,1244,21,26/03/2024,895.95,8,47.26
333,1592,22,26/06/2024,682.91,8,15.41
334,1110,40,18/10/2024,753.57,9,47.41
335,1066,62,30/04/2024,192.48,10,7.43
336,533,18,22/01/2024,792.5,7,16.37
337,51,28,18/05/2024,913.36,4,24.53
338,233,98,14/11/2024,653,5,21.43
339,1131,59,05/02/2024,286.68,4,32.92
340,118,83,27/02/2024,714.85,6,22.91
341,213,10,11/04/2024,281.38,3,27.8
342,530,28,12/12/2024,562.13,4,18.68
343,1146,55,27/07/2024,959.07,7,23.99
344,1913,72,24/03/2024,855.4,3,14.69
345,1914,59,19/09/2024,824.4,7,46.44
346,814,66,12/07/2024,941.55,4,10.48
347,462,39,25/08/2024,702.18,2,47.75
348,160,79,14/10/2024,155.35,2,18.69
349,1775,48,08/09/2024,394.11,10,41.91
350,201,32,10/02/2024,958.96,6,7.51
351,1618,51,21/05/2024,696.69,9,5.22
352,1890,32,03/02/2024,970.59,5,15.25
353,385,73,13/04/2024,645.86,4,49.54
354,701,23,14/07/2024,461.05,5,49.16
355,663,80,19/07/2024,372.92,6,34.08
356,558,31,10/02/2024,50.1,4,46.09
357,142,1,17/01/2024,305.43,7,47.73
358,1266,46,06/04/2024,427.12,7,44.74
359,1922,79,28/11/2024,868.78,7,29.87
360,1717,54,05/12/2024,947.49,5,25.59
361,860,67,10/09/2024,650.47,7,44.62
362,646,88,15/03/2024,877.48,3,49.6
363,1672,73,11/10/2024,459.18,1,25.03
364,642,80,06/02/2024,601.2,7,42.91
365,447,82,10/02/2024,10.74,10,39.5
366,898,26,28/07/2024,351.8,8,31.78
367,488,50,08/10/2024,256.93,7,15.25
368,1919,38,15/12/2024,480.6,4,49.06
369,136,29,26/11/2024,46.83,5,20.18
370,100,97,06/02/2024,99.2,5,48.51
371,1691,81,30/07/2024,701.12,9,30.92
372,1810,83,16/05/2024,227.17,10,9.89
373,872,82,17/02/2024,457.25,1,18.86
374,368,95,11/06/2024,399.92,10,45.59
375,251,55,25/07/2024,764.85,7,19.62
376,672,26,08/05/2024,825.9,6,34.67
377,70,10,06/07/2024,715.52,6,49.91
378,165,66,12/03/2024,400.36,3,40.34
379,1774,6,15/05/2024,832.29,3,6.12
380,1502,60,13/02/2024,640.11,8,29.36
381,558,72,25/10/2024,237.31,5,17.92
382,529,79,31/10/2024,387.34,9,9.11
383,424,53,06/05/2024,623.18,10,5.09
384,1860,57,28/04/2024,671.24,4,28.51
385,1380,50,21/05/2024,394.14,5,49.88
386,582,47,26/01/2024,654.71,6,21.74
387,775,90,08/11/2024,203.8,3,14.52
388,1534,66,15/01/2024,327.58,5,45.73
389,1693,84,05/06/2024,711.4,10,14.71
390,1597,40,30/10/2024,847.85,5,33.32
391,1460,94,29/01/2024,920.15,2,29.65
392,119,9,20/11/2024,930.55,10,37.15
393,344,82,19/07/2024,823.52,7,32.84
394,847,66,01/01/2024,493.8,2,32.96
395,746,64,28/04/2024,574.33,2,12.69
396,1095,45,09/01/2024,307.36,7,23.78
397,1508,53,01/02/2024,65.5,2,25.18
398,47,98,21/07/2024,744.01,3,45.91
399,606,40,20/12/2023,203.46,7,21.6
400,507,35,01/01/2024,867.92,3,39.43
401,1670,25,25/09/2024,780.4,4,16.22
402,1865,15,23/06/2024,402.21,4,39.71
403,1919,93,08/11/2024,28.17,3,45.15
404,1967,30,08/03/2024,949.96,5,14.35
405,1196,64,09/01/2024,445.25,4,27.62
406,1769,57,30/11/2024,624.69,7,14.2
407,502,98,29/11/2024,131.93,7,14.13
408,175,79,02/09/2024,356.66,1,15.59
409,1149,71,03/08/2024,888.05,5,26.91
410,646,27,17/02/2024,721.9,6,48.76
411,435,56,05/08/2024,907.37,10,9.34
412,1445,17,23/01/2024,178.28,3,36.61
413,1917,61,25/07/2024,866.73,6,34.54
414,1312,59,01/04/2024,19.77,8,10.21
415,1694,2,04/02/2024,868.74,4,12.94
416,337,20,17/05/2024,687.95,3,31.5
417,706,46,22/07/2024,473.46,7,41.81
418,1652,71,26/01/2024,232.21,6,45.72
419,1476,90,03/11/2024,672.55,8,17.39
420,841,62,20/11/2024,686.79,8,22.38
421,868,17,18/07/2024,351.26,7,19.56
422,1612,65,09/10/2024,505.41,8,31.52
423,172,4,19/10/2024,278.41,2,6.24
424,1850,64,21/09/2024,307.41,2,24.7
425,1356,31,02/07/2024,585.69,2,35.9
426,34,97,21/09/2024,567.1,2,46.31
427,1890,12,25/09/2024,625.86,1,20.28
428,1081,34,23/10/2024,386.88,7,29.4
429,1880,14,17/12/2024,911.36,3,29.01
430,1034,24,04/08/2024,687.69,8,31.04
431,1072,44,29/02/2024,366.79,7,25.88
432,246,55,29/07/2024,474.64,1,40.99
433,1453,43,01/12/2024,355.62,10,31.39
434,4,13,29/11/2024,478.08,2,12.86
435,34,8,03/11/2024,672.07,3,45.34
436,934,6,05/01/2024,515.62,9,38.77
437,946,56,01/01/2024,551.21,10,9.53
438,198,3,27/07/2024,312.07,5,36.37
439,991,41,23/04/2024,423.33,5,8.74
440,1001,95,07/05/2024,44.99,10,33.45
441,235,62,22/08/2024,941.57,8,48.97
442,1091,16,09/12/2024,761.23,8,26.75
443,892,72,11/04/2024,645.55,2,18.56
444,1656,76,30/08/2024,208.37,2,20.97
445,869,15,20/02/2024,345.25,6,19.71
446,1771,40,26/08/2024,715.15,6,17.97
447,1402,70,01/11/2024,36.8,5,29.34
448,473,50,25/01/2024,803.21,3,23.82
449,1528,36,18/10/2024,126.44,5,29.94
450,516,44,17/12/2024,99.31,1,10.48
451,1224,90,10/10/2024,524.52,9,33.64
452,292,84,03/02/2024,739.27,8,30.15
453,276,26,02/01/2024,906.79,6,28.54
454,919,34,18/11/2024,189.86,10,45.87
455,581,52,23/08/2024,874,10,9.44
456,77,44,30/09/2024,515.92,7,36.65
457,1264,2,01/03/2024,32.42,7,46.21
458,3,5,04/08/2024,533.18,4,10.18
459,622,46,01/02/2024,304.07,1,11.5
460,1320,59,28/04/2024,12.86,9,47.79
461,850,12,11/07/2024,815.29,2,39.27
462,1598,38,18/04/2024,241.01,10,27.52
463,1074,15,22/11/2024,541.31,5,46.51
464,1045,72,01/05/2024,292.87,4,5.7
465,377,25,14/06/2024,62.61,9,17.03
466,1492,96,11/12/2024,737.69,4,20.33
467,143,25,16/09/2024,332.44,3,34.78
468,524,17,08/01/2024,932.95,9,11.53
469,1921,25,09/01/2024,537.28,5,39.33
470,894,46,13/08/2024,592.9,7,11.92
471,1270,74,04/07/2024,381.3,2,33.7
472,1448,35,21/03/2024,899.65,7,36.69
473,1339,39,01/05/2024,780.62,1,42.1
474,1655,59,28/04/2024,80.77,10,38.96
475,175,87,21/03/2024,585.45,7,33.96
476,1321,90,03/02/2024,507.68,4,21.73
477,707,83,28/03/2024,455.2,2,38.16
478,1944,27,11/01/2024,63.41,9,10.31
479,1119,82,28/08/2024,905.51,3,15.99
480,1457,13,01/12/2024,897.66,10,11.77
481,218,43,06/07/2024,180.73,7,37.53
482,1865,47,09/09/2024,182.19,6,5.78
483,1961,89,22/02/2024,264.72,2,45.06
484,1003,65,13/11/2024,810.46,2,17.22
485,1341,98,03/02/2024,793.6,7,20.47
486,557,12,19/02/2024,309.77,10,6.81
487,1962,34,19/04/2024,363.74,5,19.78
488,1929,20,08/10/2024,11,10,40.11
489,432,85,14/10/2024,525.79,4,40.38
490,388,96,13/07/2024,660.24,10,30.41
491,1449,67,09/08/2024,203.95,7,32.44
492,1938,22,19/08/2024,25.9,9,8.08
493,1139,78,08/02/2024,111.94,1,5.02
494,398,51,05/07/2024,527.49,3,22.58
495,175,78,11/11/2024,330.58,7,44.96
496,1927,97,20/09/2024,287.39,5,49.93
497,1277,43,15/09/2024,802.31,1,19.26
498,54,19,03/10/2024,885.46,5,32.33
499,682,50,24/09/2024,662.61,10,41.72
500,635,1,24/07/2024,44.93,10,17.92
501,1999,2,13/09/2024,970.02,6,29.43
502,1548,88,23/04/2024,100.99,3,28.38
503,1133,18,19/11/2024,714.03,3,25.27
504,707,94,15/01/2024,167.03,3,42.22
505,1181,79,21/11/2024,506.08,10,33.49
506,1289,43,10/05/2024,33.57,5,9.84
507,52,24,09/02/2024,57.46,1,48.31
508,1855,41,27/03/2024,792.87,4,21.72
509,411,23,05/02/2024,732.82,6,46.76
510,1222,54,12/09/2024,28.96,9,38.94
511,49,51,22/08/2024,306.18,8,5.39
512,756,37,01/12/2024,899.36,9,34.55
513,491,89,03/09/2024,815.41,8,42.93
514,1462,17,13/02/2024,111.2,6,30.02
515,559,33,14/04/2024,678.58,5,8.54
516,1431,93,13/05/2024,801.85,9,7.38
517,1690,28,05/06/2024,225.87,7,38.69
518,392,36,18/07/2024,213.95,6,23.32
519,745,12,19/05/2024,336.45,5,5.06
520,480,50,12/02/2024,931.09,8,47.86
521,1730,2,18/09/2024,388.61,1,30.47
522,123,6,03/08/2024,725.96,4,29.5
523,1522,3,24/03/2024,16.79,6,31.85
524,1210,74,14/10/2024,369.28,6,22.14
525,244,96,12/10/2024,830.97,10,11.22
526,11,78,23/10/2024,737.86,1,21.82
527,1674,9,03/02/2024,670.28,9,11.48
528,148,81,16/01/2024,326.24,10,40.53
529,1026,74,07/10/2024,450.45,3,9.66
530,1651,22,11/01/2024,618.39,9,24.43
531,1317,92,08/10/2024,495.52,6,7.52
532,696,66,11/07/2024,83.69,4,42.05
533,1010,38,09/03/2024,185.6,5,46.64
534,1339,75,31/12/2023,12.99,6,11.5
535,634,74,29/01/2024,794.01,5,25
536,471,29,14/04/2024,189.3,3,18.67
537,789,1,18/09/2024,784,1,38.34
538,1268,93,12/11/2024,715.68,9,35.8
539,1590,50,03/12/2024,396.78,1,33.23
540,500,48,14/01/2024,283.56,2,5.43
541,78,71,11/11/2024,557.78,3,31.72
542,1113,87,27/09/2024,47.47,7,18.2
543,355,36,23/02/2024,853.46,7,16.32
544,1314,86,01/05/2024,816.42,2,35.51
545,110,89,12/11/2024,726.63,4,30.35
546,738,6,23/05/2024,297.3,6,46.54
547,1012,45,31/10/2024,882.7,7,37.56
548,1179,98,30/04/2024,908.42,10,25.22
549,1654,35,09/01/2024,632.32,6,26.45
550,1401,87,01/08/2024,624.69,9,41.31
551,1847,88,29/07/2024,985.75,10,40.64
552,592,30,04/03/2024,325.84,9,47.45
553,1560,39,24/11/2024,216.58,4,18.43
554,1430,58,04/09/2024,314.48,5,19.74
555,1211,89,10/05/2024,456.84,6,17.49
556,1493,62,12/07/2024,874.94,4,30.44
557,814,45,28/11/2024,904.5,1,12.87
558,543,51,03/05/2024,112.31,3,38.26
559,1515,16,20/05/2024,241.33,10,32.54
560,1535,61,08/01/2024,535.94,4,29.74
561,1881,30,16/08/2024,692.96,9,47.2
562,1080,35,13/10/2024,979.88,10,13.56
563,303,62,24/03/2024,667.8,5,41.31
564,657,9,23/11/2024,68.79,9,39.17
565,1285,74,16/01/2024,934.82,7,36.08
566,655,70,20/05/2024,927.66,3,25.13
567,700,17,23/12/2023,710.8,2,49.89
568,1253,39,14/08/2024,132.38,3,42.19
569,1733,36,12/10/2024,427.27,3,40
570,570,90,09/07/2024,494.24,10,37.85
571,187,44,02/11/2024,44.95,6,12.89
572,848,7,08/11/2024,432.97,1,43.61
573,1234,78,19/01/2024,723.27,5,49.46
574,1672,1,08/10/2024,365.79,8,30.39
575,1044,66,30/12/2023,369.14,1,19.66
576,663,75,27/02/2024,722.09,5,42.31
577,1871,73,06/07/2024,986.75,3,40.55
578,393,61,16/08/2024,793.73,6,43.5
579,1015,10,10/12/2024,493.98,6,15.6
580,314,32,01/08/2024,508.31,4,11.13
581,1386,44,12/03/2024,342.67,5,23
582,1944,10,27/06/2024,570.26,8,11.61
583,609,47,03/10/2024,863.37,2,30.41
584,1279,95,02/04/2024,208.43,4,35.34
585,673,84,09/08/2024,237.85,4,22.47
586,1827,13,25/06/2024,420,7,16.74
587,567,9,17/02/2024,982.09,9,48.05
588,1502,8,17/03/2024,66.88,1,26.21
589,1504,71,12/06/2024,259.76,10,12.08
590,379,99,25/03/2024,589.06,5,43.78
591,838,90,01/08/2024,796.11,2,27.94
592,1652,42,10/11/2024,863.47,6,12.6
593,1185,35,16/05/2024,272.28,2,19.09
